DATE,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,ELAPSED_TIME,AIR_TIME,DISTANCE,ARRIVAL_TIME,DIVERTED,CANCELLED
2015-03-01,VX,1,N837VA,SFO,DCA,286,271,2442,1538,0,0
2015-03-01,B6,2,N633JB,FLL,JFK,159,140,1069,1140,0,0
2015-03-01,B6,3,N913JB,JFK,SJU,202,181,1598,1133,0,0
2015-03-01,AS,4,N581AS,SEA,DCA,281,254,2329,1553,0,0
2015-03-01,AS,5,N517AS,DCA,LAX,343,326,2311,1157,0,0
2015-03-01,AS,6,N565AS,LAX,DCA,286,259,2311,2041,0,0
2015-03-01,WN,7,N670SW,DAL,HOU,56,46,239,940,0,0
2015-03-01,AS,8,N464AS,SEA,EWR,279,262,2402,1548,0,0
2015-03-01,AA,9,N792AA,JFK,LAX,397,368,2475,1026,0,0
2015-03-02,HA,10,N389HA,HNL,LAX,303,272,2556,1513,0,0
2015-03-02,HA,11,N384HA,SFO,HNL,331,305,2398,1311,0,0
2015-03-02,VX,12,N842VA,SFO,JFK,320,299,2586,1522,0,0
2015-03-02,DL,14,N823DN,SLC,ATL,215,185,1590,1532,0,0
2015-03-02,B6,15,N944JB,JFK,SFO,380,350,2586,1019,0,0
2015-03-02,B6,16,N934JB,SFO,JFK,316,299,2586,1508,0,0
2015-03-02,HA,17,N389HA,LAS,HNL,385,361,2762,610,0,0
2015-03-02,HA,18,N373HA,HNL,LAS,327,307,2762,2330,0,0
2015-03-02,WN,19,N749SW,LGA,DAL,245,228,1381,1025,0,0
2015-03-02,WN,20,N7734H,HRL,HOU,52,42,277,1025,0,0
2015-03-03,HA,21,N373HA,SEA,HNL,357,343,2677,1258,0,0
2015-03-03,B6,22,N521JB,PBI,BOS,187,168,1197,1016,0,0
2015-03-03,B6,23,N937JB,JFK,LAX,384,358,2475,951,0,0
2015-03-03,B6,24,N923JB,LAX,JFK,293,279,2475,1413,0,0
2015-03-03,AA,25,N3AVAA,BOS,LAX,405,381,2611,1242,0,0
2015-03-03,VX,26,N852VA,SFO,JFK,341,323,2586,2223,0,0
2015-03-03,WN,27,N252WN,LAX,DAL,172,158,1246,1229,0,0
2015-03-03,B6,28,N503JB,MCO,EWR,148,125,937,1251,0,0
2015-03-03,HA,29,N370HA,SEA,OGG,376,332,2640,1410,0,0
